is_part_of,count
El Ciervo,12593
The Irish Monthly,9511
The Furrow,7997
Bulletin de la Société de l'Histoire du Protestantisme Français (1903-2015),4450
Studies: An Irish Quarterly Review,4332
Journal of Biblical Literature,3927
Journal of Religion and Health,3702
Zeitschrift für katholische Theologie,3673
Biblica,3586
New Blackfriars,3378
Vetus Testamentum,3314
Revue des Sciences philosophiques et théologiques,3163
The Jewish Quarterly Review,3148
Bulletin historique et littéraire (Société de l'Histoire du Protestantisme Français),2941
Gregorianum,2749
Tarbiẕ / תרביץ,2749
CrossCurrents,2666
Revue de l'histoire des religions,2562
Proceedings of the World Congress of Jewish Studies / דברי הקונגרס העולמי למדעי היהדות,2446
The Harvard Theological Review,2408
The Catholic Biblical Quarterly,2347
Journal for the Scientific Study of Religion,2326
The Biblical World,2312
Beit Mikra: Journal for the Study of the Bible and Its World / בית מקרא: כתב-עת לחקר המקרא ועולמו,2311
Revue de Théologie et de Philosophie,2291
Zeitschrift für Theologie und Kirche,2269
Blackfriars,2227
Christianity and Literature,2205
Philosophy East and West,2075
Church History,2044
Brigham Young University Studies,2009
The Journal of Religion,2000
Christian Education,1985
European Judaism: A Journal for the New Europe,1945
Zeitschrift für Religions- und Geistesgeschichte,1869
Tradition: A Journal of Orthodox Jewish Thought,1868
Religious Studies,1799
Records of the American Catholic Historical Society of Philadelphia,1777
Revue Biblique (1946-),1693
The Catholic Historical Review,1673
The American Catholic Historical Researches,1672
Vigiliae Christianae,1577
Revue Biblique (1892-1940),1534
Jahrbuch für Liturgik und Hymnologie,1476
Jewish Social Studies,1419
Soundings: An Interdisciplinary Journal,1397
Life of the Spirit (1946-1964),1391
Bulletin de la Société de l'Histoire du Protestantisme Français (1852-1865),1383
Archives de sciences sociales des religions,1349
Islamic Studies,1335
Historical Magazine of the Protestant Episcopal Church,1286
Novum Testamentum,1256
Nederlands archief voor kerkgeschiedenis / Dutch Review of Church History,1226
Theologische Rundschau,1207
International Journal for Philosophy of Religion,1199
Franciscan Studies,1185
Pe'amim: Studies in Oriental Jewry / פעמים: רבעון לחקר קהילות ישראל במזרח,1161
Hebrew Union College Annual,1148
Journal of Indian Philosophy,1116
The Journal of Religious Ethics,1078
Traditio,1071
Journal of Feminist Studies in Religion,1016
Revue de Qumrân,1001
Journal of Mormon History,968
Numen,961
The Biblical Archaeologist,943
U.S. Catholic Historian,928
Publications of the American Jewish Historical Society,925
Neotestamentica,879
Kirchliche Zeitgeschichte,874
Die Welt des Islams,869
History of Religions,860
Recherches de théologie ancienne et médiévale,854
Revue de Théologie et de Philosophie et Compte-rendu des Principales Publications Scientifiques,829
Studia Islamica,828
Religion & Literature,827
American Jewish History,798
Anglican and Episcopal History,795
Method & Theory in the Study of Religion,792
The Eastern Buddhist,778
Near Eastern Archaeology,772
Buddhist-Christian Studies,735
Journal of Religion in Africa,726
Hebrew Studies,724
Japanese Journal of Religious Studies,705
Journal of Law and Religion,663
American Journal of Theology & Philosophy,641
The American Journal of Theology,623
Nova Religio: The Journal of Alternative and Emergent Religions,600
Archivum Historiae Pontificiae,592
Contemporary Jewry,584
Oriens,569
Rivista di storia della Chiesa in Italia,566
Jewish History,552
Studia Rosenthaliana,526
AJS Review,522
Asian Folklore Studies,515
BYU Studies Quarterly,509
The John Whitmer Historical Association Journal,487
Journal for the Study of Religion,478
Jewish Studies Quarterly,474
Journal of the Society of Christian Ethics,457
The Christian Scholar,456
Proceedings of the American Academy for Jewish Research,449
Journal of Presbyterian History (1962-1985),441
Quaker History,435
Jerusalem Studies in Jewish Thought / מחקרי ירושלים במחשבת ישראל,431
Worldviews,406
Journal of Qur'anic Studies,399
Cahiers d'Extrême-Asie,398
Bulletin of Friends Historical Association,378
Shnaton: An Annual for Biblical and Ancient Near Eastern Studies / שנתון לחקר המקרא והמזרח הקדום,373
Jewish Studies / מדעי היהדות,357
American Catholic Studies,352
Islamic Law and Society,352
American Jewish Historical Quarterly,351
The Annual of the Society of Christian Ethics,343
International Journal of Hindu Studies,333
Report (World Congress of Jewish Studies) / דין וחשבון - הקונגרס העולמי למדעי היהדות,323
The Old Testament Student,322
The Journal of Presbyterian History (1997-),320
Archives de sociologie des religions,319
Journal of the Presbyterian Historical Society (1943-1961),307
Recherches de théologie et philosophie médiévales,305
Journal of the Presbyterian Historical Society (1901-1930),301
Mystics Quarterly,300
Church History and Religious Culture,296
Religion and American Culture: A Journal of Interpretation,292
Sefunot: Studies and Sources on the History of the Jewish Communities in the East / ספונות: מחקרים ומקורות לתולדות קהילות ישראל במזרח,278
Notre Dame English Journal,256
The Old and New Testament Student,248
Newsletter of the Conference on Christianity and Literature,242
American Presbyterians,241
The Irish Church Quarterly,235
Asian Ethnology,235
Aleph,230
Bulletin of Friends' Historical Society of Philadelphia,224
Revue d'histoire du protestantisme,211
Deutsche Theologie,202
Meghillot: Studies in the Dead Sea Scrolls / מגילות: מחקרים במגילות מדבר יהודה,200
Transactions of the Moravian Historical Society,196
Hebrew Abstracts,187
The Torah U-Madda Journal,186
"Contagion: Journal of Violence, Mimesis, and Culture",185
Journal of Africana Religions,181
Journal of Constructive Theology,180
Historia: Journal of the Historical Society of Israel / היסטוריה: כתב עת של החברה ההיסטורית הישראלית,171
Journal of Korean Religions,171
Nederlandsch archief voor kerkelijke geschiedenis,166
Contemporary Religions in Japan,158
Sudanic Africa,158
Journal of World Christianity,154
14th Century English Mystics Newsletter,154
Journal of Religion and Violence,148
Journal of the Society of Biblical Literature and Exegesis,139
Islamophobia Studies Journal,138
Islamic Africa,137
Archief voor Nederlandsche kerkgeschiedenis,134
Journal of Gender and Religion in Africa,131
"Archief voor kerkelijke geschiedenis, inzonderheid van Nederland",128
Journal of Moravian History,126
Folklore Studies,122
Bulletin de théologie ancienne et médiévale,122
Preternature: Critical and Historical Studies on the Preternatural,121
Wesley and Methodist Studies,117
Journal of Medieval Religious Cultures,108
Iggud: Selected Essays in Jewish Studies / איגוד: מבחר מאמרים במדעי היהדות,104
African Journal of Gender and Religion,99
Journal of the Department of History (The Presbyterian Historical Society) of the Presbyterian Church in the U.S.A.,94
Journal of Jewish Ethics,91
Théologie et Philosophie,91
The Life of the Spirit (1944-1946),88
Bustan: The Middle East Book Review,83
The Hebrew Student,82
Religion in Southern Africa,73
Newsletter (World Union of Jewish Studies) / ידיעון - האיגוד העולמי למדעי היהדות,49
Vivre et Penser,43
Catholic Historical Researches,37
Nieuw archief voor kerkelijke geschiedenis inzonderheid van Nederland,34
Selected Papers from the Annual Meeting (American Society of Christian Ethics),33
The American College Bulletin,29
Journal of Jewish Lore and Philosophy,22
"Historical Researches in Western Pennsylvania, Principally Catholic",14
Selected Papers from the Annual Meeting (Society of Christian Ethics),6
Jewish Sociology and Social Research,5
